iso3,country,year,scenario,hot_days_proj,hot_days_proj_diff_1981_2010,icing_days_proj,icing_days_proj_diff_1981_2010,trop_nights_proj,trop_nights_proj_diff_1981_2010,hot_days_proj_pct_change_1981_2010,trop_nights_proj_pct_change_1981_2010,icing_days_proj_pct_change_1981_2010,scenario_label,linked_ssp,is_linked_scenario
ARG,ARG,2051,PROJ_SSP585,47.0,23.9,0.7,-0.9,51.5,8.2,103.46320346320346,18.937644341801384,-56.25,SSP5-8.5 (very high emissions),,False
ARG,ARG,2052,PROJ_SSP126,36.1,13.1,1.0,-0.6,44.4,1.0,56.95652173913043,2.3041474654377883,-37.49999999999999,SSP1-2.6 (low emissions),,False
ARG,ARG,2052,PROJ_SSP245,40.7,17.6,0.9,-0.7,46.6,3.3,76.1904761904762,7.621247113163972,-43.74999999999999,SSP2-4.5 (middle of the road),,False
ARG,ARG,2052,PROJ_SSP370,42.5,19.5,0.8,-0.7,50.1,6.8,84.78260869565217,15.704387990762122,-46.666666666666664,SSP3-7.0 (high emissions),,False
ARG,ARG,2052,PROJ_SSP585,46.3,23.3,0.7,-0.8,51.0,7.6,101.30434782608697,17.51152073732719,-53.333333333333336,SSP5-8.5 (very high emissions),,False
ARG,ARG,2053,PROJ_SSP126,39.6,16.6,0.9,-0.6,45.5,2.1,72.17391304347827,4.838709677419355,-40.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2053,PROJ_SSP245,40.3,17.3,0.7,-0.8,47.6,4.2,75.21739130434784,9.67741935483871,-53.333333333333336,SSP2-4.5 (middle of the road),,False
ARG,ARG,2053,PROJ_SSP370,39.6,16.5,0.7,-0.8,50.1,6.8,71.42857142857142,15.704387990762122,-53.333333333333336,SSP3-7.0 (high emissions),,False
ARG,ARG,2053,PROJ_SSP585,45.0,22.0,0.7,-0.8,52.6,9.2,95.65217391304348,21.198156682027644,-53.333333333333336,SSP5-8.5 (very high emissions),,False
ARG,ARG,2054,PROJ_SSP126,39.3,16.2,1.1,-0.5,44.2,0.8,70.12987012987013,1.8433179723502304,-31.25,SSP1-2.6 (low emissions),,False
ARG,ARG,2054,PROJ_SSP245,40.8,17.7,0.8,-0.8,45.9,2.5,76.62337662337663,5.76036866359447,-50.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2054,PROJ_SSP370,46.1,23.0,0.7,-0.8,53.1,9.8,99.56709956709956,22.63279445727483,-53.333333333333336,SSP3-7.0 (high emissions),,False
ARG,ARG,2054,PROJ_SSP585,51.2,28.2,0.6,-0.9,54.5,11.2,122.60869565217389,25.86605080831409,-60.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2055,PROJ_SSP126,36.1,13.0,1.0,-0.6,43.6,0.2,56.27705627705627,0.4608294930875576,-37.49999999999999,SSP1-2.6 (low emissions),,False
ARG,ARG,2055,PROJ_SSP245,41.4,18.4,0.8,-0.8,46.9,3.5,80.0,8.064516129032258,-50.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2055,PROJ_SSP370,43.4,20.3,0.8,-0.8,51.0,7.7,87.87878787878789,17.782909930715938,-50.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2055,PROJ_SSP585,44.6,21.6,0.7,-0.8,53.2,9.8,93.91304347826087,22.58064516129032,-53.333333333333336,SSP5-8.5 (very high emissions),,False
ARG,ARG,2056,PROJ_SSP126,40.1,17.1,1.2,-0.4,45.0,1.6,74.34782608695653,3.686635944700461,-25.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2056,PROJ_SSP245,40.0,17.0,0.8,-0.7,48.6,5.3,73.91304347826086,12.240184757505771,-46.666666666666664,SSP2-4.5 (middle of the road),,False
ARG,ARG,2056,PROJ_SSP370,44.0,21.0,0.8,-0.7,52.0,8.7,91.30434782608695,20.092378752886837,-46.666666666666664,SSP3-7.0 (high emissions),,False
ARG,ARG,2056,PROJ_SSP585,46.2,23.2,0.7,-0.8,53.3,9.9,100.86956521739128,22.811059907834103,-53.333333333333336,SSP5-8.5 (very high emissions),,False
ARG,ARG,2057,PROJ_SSP126,40.8,17.7,0.9,-0.6,44.3,0.9,76.62337662337663,2.0737327188940093,-40.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2057,PROJ_SSP245,40.8,17.8,0.8,-0.7,48.0,4.7,77.39130434782611,10.854503464203233,-46.666666666666664,SSP2-4.5 (middle of the road),,False
ARG,ARG,2057,PROJ_SSP370,46.0,22.9,0.7,-0.8,52.7,9.3,99.13419913419912,21.428571428571427,-53.333333333333336,SSP3-7.0 (high emissions),,False
ARG,ARG,2057,PROJ_SSP585,48.0,24.9,0.7,-0.9,55.1,11.7,107.79220779220778,26.958525345622114,-56.25,SSP5-8.5 (very high emissions),,False
ARG,ARG,2058,PROJ_SSP126,36.8,13.8,0.9,-0.7,46.5,3.1,60.00000000000001,7.142857142857144,-43.74999999999999,SSP1-2.6 (low emissions),,False
ARG,ARG,2058,PROJ_SSP245,37.6,14.5,0.8,-0.7,45.7,2.3,62.77056277056276,5.299539170506911,-46.666666666666664,SSP2-4.5 (middle of the road),,False
ARG,ARG,2058,PROJ_SSP370,42.5,19.5,0.7,-0.9,52.0,8.6,84.78260869565217,19.81566820276498,-56.25,SSP3-7.0 (high emissions),,False
ARG,ARG,2058,PROJ_SSP585,49.5,26.5,0.6,-0.9,57.3,13.9,115.21739130434783,32.02764976958525,-60.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2059,PROJ_SSP126,37.1,14.0,0.8,-0.7,44.5,1.2,60.60606060606061,2.771362586605081,-46.666666666666664,SSP1-2.6 (low emissions),,False
ARG,ARG,2059,PROJ_SSP245,40.2,17.2,0.9,-0.6,48.1,4.7,74.78260869565216,10.829493087557603,-40.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2059,PROJ_SSP370,47.1,24.1,0.7,-0.9,53.6,10.3,104.78260869565219,23.78752886836028,-56.25,SSP3-7.0 (high emissions),,False
ARG,ARG,2059,PROJ_SSP585,48.1,25.0,0.6,-1.0,55.7,12.4,108.22510822510823,28.637413394919164,-62.5,SSP5-8.5 (very high emissions),,False
ARG,ARG,2060,PROJ_SSP126,39.2,16.2,1.0,-0.6,45.2,1.8,70.43478260869563,4.147465437788018,-37.49999999999999,SSP1-2.6 (low emissions),,False
ARG,ARG,2060,PROJ_SSP245,41.6,18.5,0.7,-0.8,49.9,6.6,80.08658008658008,15.242494226327944,-53.333333333333336,SSP2-4.5 (middle of the road),,False
ARG,ARG,2060,PROJ_SSP370,44.6,21.6,0.7,-0.8,53.2,9.9,93.91304347826087,22.863741339491916,-53.333333333333336,SSP3-7.0 (high emissions),,False
ARG,ARG,2060,PROJ_SSP585,50.1,27.1,0.6,-1.0,57.4,14.1,117.82608695652175,32.5635103926097,-62.5,SSP5-8.5 (very high emissions),,False
AUS,AUS,2030,PROJ_SSP126,117.8,25.2,0.0,0.0,133.4,6.6,27.213822894168466,5.205047318611987,,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2030,PROJ_SSP245,112.0,19.3,0.0,0.0,124.3,-2.5,20.819848975188783,-1.971608832807571,,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2030,PROJ_SSP370,109.0,16.3,0.0,0.0,133.0,6.3,17.583603020496223,4.972375690607735,,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2030,PROJ_SSP585,114.5,21.9,0.0,0.0,125.9,-0.9,23.65010799136069,-0.7097791798107255,,SSP5-8.5 (very high emissions),PROJ_SSP245,False
AUS,AUS,2031,PROJ_SSP126,116.4,23.8,0.0,0.0,131.3,4.6,25.701943844492437,3.630623520126282,,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2031,PROJ_SSP245,114.7,22.0,0.0,0.0,123.6,-3.1,23.73247033441208,-2.44672454617206,,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2031,PROJ_SSP370,119.2,26.6,0.0,0.0,132.9,6.2,28.725701943844495,4.89344909234412,,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2031,PROJ_SSP585,119.5,26.8,0.0,0.0,125.9,-0.8,28.91046386192017,-0.6314127861089187,,SSP5-8.5 (very high emissions),PROJ_SSP245,False
